item,recommendation
Board game,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'หมอนข้าง', 'น้ำส้มดีโด้', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego']"
Botox,['คอร์สโบท็อกกราม']
Brownie อวกาศ,['กัญชง']
Lego,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนข้าง', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'คอลลาเจน', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Board game']"
Software ถูกลิขสิทธิ์,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'หมอนข้าง', 'น้ำส้มดีโด้', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'คอลลาเจน', 'กะหรี่(ปั๊บ)', 'Lego', 'Board game']"
กรรไกรตัดขนจมูก,['เนื้อย่าง']
กะหรี่(ปั๊บ),"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนข้าง', 'น้ำส้มดีโด้', 'ที่ยกน้ำหนัก (Dumbell)', 'ต้นไม้ประดับห้อง', 'ตาชั่ง ', 'คอลลาเจน', 'Software ถูกลิขสิทธิ์', 'Lego', 'Board game']"
กัญชง,"['แผ่นเสียง', 'Brownie อวกาศ']"
คอร์สโบท็อกกราม,['Botox']
คอลลาเจน,"['โรตี', 'เม็ดมะม่วงหิมพานต์', 'น้ำส้มดีโด้', 'ที่ยกน้ำหนัก (Dumbell)', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego']"
จักรยานเสือภูเขา,['ที่ยกน้ำหนัก (Dumbell)']
ชุดนอนไม่ได้นอน,['เสื้อซีทรู']
ชุดน้องหมา,['น้องหมา']
ตาชั่ง ,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนข้าง', 'ต้นไม้ประดับห้อง', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego', 'Board game']"
ต้นไม้ประดับห้อง,"['โรตี', 'แฟน ที่แปลว่าพัดลม', 'เม็ดมะม่วงหิมพานต์', 'เนื้อวากิล', 'เนื้อย่าง', 'เครื่องดูดฝุ่นอัตโนมัติ (robot)', 'หมอนข้าง', 'ที่ยกน้ำหนัก (Dumbell)', 'ตาชั่ง ', 'กะหรี่(ปั๊บ)', 'Software ถูกลิขสิทธิ์', 'Lego', 'Board game']"
